receiptno,completiontime,details,transactionstatus,paidin,withdrawn,balance
IGKM8FIKIB,2023-01-28,Customer Send Money to Micro SME Business with Fuliza MPesa to - 070*******676 KIBANDA KWA NJUGUNA,COMPLETED,0.0,2119.54,-4578.95
O5UD99F5CB,2023-01-29,"Merchant Payment Online to 981504 - Bowman, Thompson and Jackson",COMPLETED,0.0,3447.59,-8026.54
0R55VBSG7Z,2023-01-31,Customer Withdrawal At Agent Till 105343 - Garcia LLC Agency,COMPLETED,0.0,4878.88,-12905.42
OFNUCT9R9W,2023-01-31,Airtime Purchase for 070*******494 - James Gay,COMPLETED,0.0,355.06,-13260.48
6KIXNVSXU8,2023-02-02,Pay Bill Online to 512782 - DSTV,COMPLETED,0.0,2788.86,-16049.34
EW39IH88NN,2023-02-03,Reversal of Transaction UVBJZ9I719 - Aaron Gomez,COMPLETED,771.09,0.0,-15278.25
D2TDNLMMCJ,2023-02-04,Customer Payment to Small Business to - 2540*******404 KINYOZI BARBER,COMPLETED,0.0,1225.53,-16503.78
U88VEJOC52,2023-02-07,"Pay Merchant to 266606 - Francis, Myers and Fisher",COMPLETED,0.0,2621.59,-19125.37
01MIGW1TFA,2023-02-07,Pay Bill Online to 504586 - KPLC POSTPAID Acc. MV11OQI00SB2,COMPLETED,0.0,8531.1,-27656.47
6EA5IPFAAP,2023-02-08,M-Shwari Withdrawal from Account FP7QWG56CC1Q,COMPLETED,1656.54,0.0,-25999.93
3L4NA0A06J,2023-02-09,Customer Transfer of Funds Charge,COMPLETED,0.0,36.19,-26036.12
9C1OQJMBA7,2023-02-13,Customer Transfer to - 2542*******033 Carlos Collins,COMPLETED,0.0,1017.51,-27053.63
NE5F1MKN0X,2023-02-15,Airtime Purchase for 2541*******350,COMPLETED,0.0,305.23,-27358.86
0AMYA0MP6O,2023-02-16,"Customer Withdrawal At Agent Till 593288 - Peterson, Garner and Cohen Agency",COMPLETED,0.0,4901.93,-32260.79
MCU25A7JDC,2023-02-16,Pay Bill Charge,COMPLETED,0.0,21.47,-32282.26
V1FFWI5FBE,2023-02-18,Customer Send Money to Micro SME Business to - 072*******163 MTUMBA SHOP,COMPLETED,0.0,988.13,-33270.39
JGSFQO9F3J,2023-02-25,Pay Bill Online to 836968 - Safaricom PLC Acc. FYBDXQVWHXFU,COMPLETED,0.0,7621.23,-40891.62
0T2BHXGIFZ,2023-02-25,Pay Bill Online to 720441 - DSTV Acc. 429KN0IIO8KI,COMPLETED,0.0,8512.73,-49404.35
5GMQSF2PVQ,2023-02-27,Customer Transfer of Funds Charge,COMPLETED,0.0,5.37,-49409.72
BVY8BWKRJZ,2023-03-01,Pay Bill Online to 630559 - Zuku Acc. A0J6756NE2KV,COMPLETED,0.0,8516.62,-57926.34
QRGLNCZRHZ,2023-03-04,M-Shwari Lock Savings to Account OYSML13UZC70,COMPLETED,0.0,3336.26,-61262.6
LW99D9YVZI,2023-03-07,Pay Bill Online to 687071 - Safaricom PLC Acc. 4V4XL1XPKA1S,COMPLETED,0.0,7882.32,-69144.92
P5UATBF7LH,2023-03-08,Funds received from - 070*******463 Beth Anderson,COMPLETED,4578.1,0.0,-64566.82
OKVR7P1DEJ,2023-03-08,KCB M-PESA Withdrawal from Account B2SDJ0JUBXBP,COMPLETED,935.03,0.0,-63631.79
U0OVDLWXAT,2023-03-09,Pay Bill Online to 118076 - Showmax Acc. FZ9AM38HH4FE,COMPLETED,0.0,4663.45,-68295.24
E2FU372U4X,2023-03-13,Funds received from - 2540*******984 Robert Dickerson,COMPLETED,3630.79,0.0,-64664.45
F1APTYWP5W,2023-03-13,Customer Transfer to - 071*******666 Bruce Gallegos,COMPLETED,0.0,2758.17,-67422.62
GGTU5BTVOO,2023-03-13,M-Shwari Lock Savings to Account DBNL10PQ65A3,COMPLETED,0.0,4789.12,-72211.74
149ZNZCJUM,2023-03-20,Customer Transfer of Funds Charge,COMPLETED,0.0,48.71,-72260.45
58AY8TKGE7,2023-03-26,Customer Transfer to - 072*******426 Cindy Fernandez,COMPLETED,0.0,340.52,-72600.97
76631JOUHZ,2023-03-27,M-Shwari Deposit to Account GNKGGR404RUT,COMPLETED,0.0,2105.79,-74706.76
W3BAR39G0N,2023-03-28,Customer Send Money to Micro SME Business received from - 077*******461 Bruce Gallegos,COMPLETED,1085.15,0.0,-73621.61
F7N5WV5FVQ,2023-03-28,Funds received from - 2541*******059 Charles King,COMPLETED,691.86,0.0,-72929.75
5BABW7MQSG,2023-03-28,Airtime Purchase for 2540*******610,COMPLETED,0.0,96.77,-73026.52
83SVXH40GH,2023-04-02,Pay Bill Online to 554177 - Netflix Kenya Acc. ILVEGY3QYJ2G,COMPLETED,0.0,7904.44,-80930.96
UVD1L9TKRG,2023-04-03,"Deposit of Funds at Agent Till 425413 - Perez, Smith and Murray Agency",COMPLETED,5867.46,0.0,-75063.5
0LDML6JTV3,2023-04-03,Funds received from - 072*******401 James Clayton,COMPLETED,3322.91,0.0,-71740.59
NJMSYOL3UZ,2023-04-04,Pay Bill Online to 509882 - NSSF Acc. DG32N9OZ38UN,COMPLETED,0.0,545.88,-72286.47
8FXL56EWWN,2023-04-05,Customer Transfer Fuliza to - 2542*******731 Victoria Brown,COMPLETED,0.0,2699.16,-74985.63
KOLDMGBKQH,2023-04-06,Funds received from - 077*******343 Dr. Amy Bradshaw,COMPLETED,4142.36,0.0,-70843.27
I3VGJLFEWG,2023-04-08,"Merchant Customer Payment from - Garrett, Lowe and Mills",COMPLETED,1061.3,0.0,-69781.97
0TNBVLCEKD,2023-04-08,Airtime Purchase for 2540*******015,COMPLETED,0.0,74.13,-69856.1
UCD7WVRUX2,2023-04-12,Customer Send Money to Micro SME Business received from - 071*******238 James Gay,COMPLETED,1332.92,0.0,-68523.18
QZUJVOV69Y,2023-04-13,Pay Bill Online to 407911 - Showmax,COMPLETED,0.0,7414.8,-75937.98
7ZH5XEKYZA,2023-04-14,"Deposit of Funds at Agent Till 770951 - Peterson, Garner and Cohen Agency",COMPLETED,9925.01,0.0,-66012.97
8RR4PMEFWA,2023-04-15,Customer Transfer of Funds Charge,COMPLETED,0.0,34.58,-66047.55
I063FFSMPN,2023-04-15,Pay Bill Online to 940977 - Airtel Money Acc. 1JUPIDNIZN86,COMPLETED,0.0,9782.67,-75830.22
TC93YKC52Y,2023-04-15,"Deposit of Funds at Agent Till 777897 - Baker, Williams and Austin Agency",COMPLETED,4234.6,0.0,-71595.62
6CLRBGNOX2,2023-04-16,Funds received from - 2547*******898 Timothy Kelly,COMPLETED,4402.63,0.0,-67192.99
6RZ2WDV0E0,2023-04-17,"Merchant Payment Online to 282280 - Patrick, Dean and Aguilar",COMPLETED,0.0,2181.01,-69374.0
X91N7BJESG,2023-04-21,Customer Withdrawal At Agent Till 407005 - Jones-Chaney Agency,COMPLETED,0.0,1305.13,-70679.13
RK6QM6S6WJ,2023-04-22,Airtime Purchase for 2541*******168 - Robert Dickerson,COMPLETED,0.0,290.76,-70969.89
KEFAUBE5QA,2023-04-23,Term Loan Disbursement - Hustler Fund,COMPLETED,2011.29,0.0,-68958.6
5GZGZB9UX4,2023-04-24,Merchant Payment Online to 483867 - Meadows and Sons,COMPLETED,0.0,2885.24,-71843.84
4I53FZILBN,2023-04-24,Funds received from - 2542*******051 Victoria Brown,COMPLETED,3866.34,0.0,-67977.5
HTAZXJ00QI,2023-04-25,Pay Bill Online to 836903 - DSTV,COMPLETED,0.0,7202.38,-75179.88
N6S0RIKFPH,2023-04-25,Customer Transfer Fuliza to - 077*******088 Cindy Fernandez,COMPLETED,0.0,256.91,-75436.79
3MCTGX871U,2023-04-28,Funds received from - 077*******752 Mary Lawrence,COMPLETED,3618.84,0.0,-71817.95
MHS4YCGZL1,2023-04-30,Customer Transfer of Funds Charge,COMPLETED,0.0,35.73,-71853.68
CIS2YZGY6M,2023-05-01,Pay Bill Charge,COMPLETED,0.0,32.22,-71885.9
F9BO0PQ07L,2023-05-02,"Merchant Customer Payment from - Smith, Flores and Jefferson",COMPLETED,4542.34,0.0,-67343.56
K5S9RD82FT,2023-05-08,Customer Withdrawal At Agent Till 150590 - Small PLC Agency,COMPLETED,0.0,4675.51,-72019.07
0HW03A4773,2023-05-12,Small Business Transfer to Other Small Business from - BODABODA SACCO,COMPLETED,2335.3,0.0,-69683.77
IRYXHKP8KU,2023-05-14,Overdraft of Credit Party,COMPLETED,1176.06,0.0,-68507.71
SYGE03XIUJ,2023-05-16,Customer Send Money to Micro SME Business with Fuliza MPesa to - 071*******531 BODABODA SACCO,COMPLETED,0.0,809.47,-69317.18
7SL0A9Y2XF,2023-05-17,"Pay Merchant to 434040 - Fleming, Clark and Bush",COMPLETED,0.0,2638.34,-71955.52
FMRVS5E5HK,2023-05-18,Customer Transfer to - 2541*******363 Misty Anderson,COMPLETED,0.0,1405.64,-73361.16
GT46QHC5IU,2023-05-20,Customer Transfer of Funds Charge,COMPLETED,0.0,6.63,-73367.79
IXJBOFY6XF,2023-05-23,Pay Bill Charge,COMPLETED,0.0,44.04,-73411.83
QRDJHB7RLE,2023-05-23,Funds received from - 2540*******367 Christina Price,COMPLETED,3064.33,0.0,-70347.5
1DIOBURG1M,2023-05-24,Funds received from - 070*******402 Susan Burns,COMPLETED,4266.25,0.0,-66081.25
XU9OLFV9E5,2023-05-24,Pay Bill Charge,COMPLETED,0.0,34.83,-66116.08
BXHOKTQMVH,2023-05-25,Customer Transfer to - 2540*******810 Deanna Sanchez,COMPLETED,0.0,274.38,-66390.46
5WBAE133NF,2023-05-25,Customer Send Money to Micro SME Business to - 2540*******124 KIBANDA KWA NJUGUNA,COMPLETED,0.0,2573.12,-68963.58
FF171M58GV,2023-05-26,OD Loan Repayment to 232323 - M-PESA Overdraw,COMPLETED,0.0,2075.62,-71039.2
L1TMTV0WET,2023-06-01,Overdraft of Credit Party,COMPLETED,1148.31,0.0,-69890.89
XC9JZJKC5Q,2023-06-02,Pay Bill Online to 508352 - KPLC POSTPAID Acc. 707HZVLAGXJ9,COMPLETED,0.0,9386.98,-79277.87
RZ5H28Q6K6,2023-06-04,Deposit of Funds at Agent Till 207799 - Hensley and Sons Agency,COMPLETED,1991.32,0.0,-77286.55
4OFC5JZWRJ,2023-06-04,Pay Bill Online to 476270 - DSTV,COMPLETED,0.0,7693.02,-84979.57
GRUIFMMDNC,2023-06-05,Customer Transfer to - 2547*******401 Angela Young,COMPLETED,0.0,1722.31,-86701.88
AOVK2Q26WI,2023-06-07,Customer Transfer to - 2540*******952 David Hines,COMPLETED,0.0,842.27,-87544.15
GT5IEZMVNM,2023-06-09,Merchant Payment Online to 431500 - Choi and Sons,COMPLETED,0.0,3555.43,-91099.58
1V9E02T77S,2023-06-10,M-Shwari Deposit to Account KVCSI1782YOJ,COMPLETED,0.0,1012.64,-92112.22
63HUE1F4U2,2023-06-12,"Merchant Payment Online to 530630 - Jackson, Watson and Reeves",COMPLETED,0.0,1854.05,-93966.27
NRLUA6JPSH,2023-06-14,Deposit of Funds at Agent Till 162589 - Small PLC Agency,COMPLETED,6648.22,0.0,-87318.05
KZ16AHOWNI,2023-06-15,Airtime Purchase for 2540*******309,COMPLETED,0.0,324.72,-87642.77
JUQ5Y7CK1T,2023-06-19,OD Loan Repayment to 232323 - M-PESA Overdraw,COMPLETED,0.0,2027.44,-89670.21
WH69IYJWSY,2023-06-20,"Merchant Payment Online to 353551 - Patrick, Dean and Aguilar",COMPLETED,0.0,3931.34,-93601.55
AV78ZWDX6V,2023-06-20,Pay Bill Charge,COMPLETED,0.0,27.29,-93628.84
35FITG0729,2023-06-22,"Deposit of Funds at Agent Till 622092 - Butler, Coleman and Smith Agency",COMPLETED,7902.76,0.0,-85726.08
CGRWIFEBY0,2023-06-23,Term Loan Disbursement - Hustler Fund,COMPLETED,886.42,0.0,-84839.66
WP67ANN3LQ,2023-06-26,M-Shwari Withdrawal from Account NNJE6TPH63XF,COMPLETED,4897.74,0.0,-79941.92
EO3UH4FDHL,2023-06-27,Funds received from - 070*******024 James Rodriguez,COMPLETED,2032.36,0.0,-77909.56
ZKI3Y2Z1AK,2023-06-29,Airtime Purchase for 2541*******112,COMPLETED,0.0,274.81,-78184.37
B061OAXWXD,2023-07-01,Customer Transfer Fuliza to - 072*******397 Angela Young,COMPLETED,0.0,1885.81,-80070.18
J0C15K6UNY,2023-07-01,KCB M-PESA Deposit to Account AOUPH24SK70W,COMPLETED,0.0,3450.42,-83520.6
O35NC78RUI,2023-07-04,Customer Transfer to - 070*******224 Charles King,COMPLETED,0.0,2477.3,-85997.9
UOSATEUUQE,2023-07-05,Pay Bill Online to 770019 - KPLC POSTPAID,COMPLETED,0.0,1714.39,-87712.29
T980KQOYLL,2023-07-07,Data Bundle Purchase - 1GB Daily,COMPLETED,0.0,67.22,-87779.51
NS0BLUI7XI,2023-07-10,Pay Bill Online to 118153 - Water Company,COMPLETED,0.0,7634.71,-95414.22
1EJBJG18O5,2023-07-11,"Customer Withdrawal At Agent Till 329663 - Bruce, Ross and Reyes Agency",COMPLETED,0.0,1687.83,-97102.05
DH4QPTSHIS,2023-07-12,Airtime Purchase for 2540*******284,COMPLETED,0.0,424.68,-97526.73
AYQE75LY4X,2023-07-12,Customer Send Money to Micro SME Business received from - 071*******410 Kathleen Ali,COMPLETED,3331.18,0.0,-94195.55
45RABX8N6K,2023-07-12,"Business Payment from - Thompson, Brown and Howard",COMPLETED,1262.16,0.0,-92933.39
0EFS6LJFQ8,2023-07-13,SMS Bundle Purchase - 100 SMS,COMPLETED,0.0,117.2,-93050.59
BSBFSBD6QY,2023-07-15,Term Loan Disbursement - Hustler Fund,COMPLETED,2164.91,0.0,-90885.68
QY92RC0ZAJ,2023-07-17,Customer Payment to Small Business to - 070*******349 KIBANDA KWA NJUGUNA,COMPLETED,0.0,1818.69,-92704.37
TESMOUK3MI,2023-07-17,Pay Bill Charge,COMPLETED,0.0,41.08,-92745.45
VGQN95S9VQ,2023-07-22,Pay Bill Charge,COMPLETED,0.0,26.27,-92771.72
1CE5094AJZ,2023-07-26,Customer Transfer of Funds Charge,COMPLETED,0.0,24.96,-92796.68
ON1XAT53JE,2023-07-26,OD Loan Repayment to 232323 - M-PESA Overdraw,COMPLETED,0.0,1921.05,-94717.73
JWJ7VA8AMP,2023-07-27,Customer Payment to Small Business to - 2541*******678 MPESA AGENT 001,COMPLETED,0.0,2741.31,-97459.04
30EP77ZCP4,2023-07-28,Customer Transfer of Funds Charge,COMPLETED,0.0,41.63,-97500.67
6JD276QH4I,2023-07-29,Pay Bill Online to 573477 - Showmax Acc. 47TWZG423JL3,COMPLETED,0.0,6118.1,-103618.77
FZ1OKW99TO,2023-08-01,"Pay Merchant to 514006 - Bowman, Thompson and Jackson",COMPLETED,0.0,539.58,-104158.35
2DVDGH2DMI,2023-08-03,Funds received from - 2540*******620 Cindy Fernandez,COMPLETED,284.82,0.0,-103873.53
UMZV2H4W52,2023-08-04,"Salary Payment from - Chandler, May and Morales",COMPLETED,3919.31,0.0,-99954.22
EZR0DXNPFZ,2023-08-06,Customer Transfer Fuliza to - 2542*******683 Mark Leon,COMPLETED,0.0,1420.54,-101374.76
ITPVN91TSP,2023-08-06,Pay Bill Charge,COMPLETED,0.0,20.62,-101395.38
XTLNGVMTSI,2023-08-07,Customer Payment to Small Business from - 072*******344 Samuel Mitchell,COMPLETED,1545.46,0.0,-99849.92
R5NNQF1ORY,2023-08-09,Funds received from - 2541*******160 Troy Love,COMPLETED,178.42,0.0,-99671.5
3NKP1ZYOL2,2023-08-19,Customer Transfer to - 2547*******581 John Campbell,COMPLETED,0.0,2911.05,-102582.55
IUIXFALXNK,2023-08-20,Data Bundle Purchase - 1GB Daily,COMPLETED,0.0,157.15,-102739.7
KT618HLPEO,2023-08-20,Customer Transfer of Funds Charge,COMPLETED,0.0,37.88,-102777.58
6XB9A6EYLW,2023-08-20,Business Payment from - Horton-Bradley,COMPLETED,3760.67,0.0,-99016.91
1QER9ARW47,2023-08-21,Pay Bill Online to 777692 - Showmax,COMPLETED,0.0,8886.55,-107903.46
YAX1NYS13E,2023-08-22,Data Bundle Purchase - 1GB Daily,COMPLETED,0.0,95.79,-107999.25
WZJFVNGITD,2023-08-23,Pay Bill Charge,COMPLETED,0.0,14.24,-108013.49
94A0P5H5E7,2023-08-24,Customer Send Money to Micro SME Business received from - 072*******619 Julie Meyer,COMPLETED,1849.35,0.0,-106164.14
ZA26MYWH6E,2023-08-27,Pay Bill Charge,COMPLETED,0.0,21.98,-106186.12
7QV4GGYM7E,2023-08-27,Pay Bill Online to 619154 - Zuku,COMPLETED,0.0,537.85,-106723.97
72BO0VN0HS,2023-08-28,Customer Transfer to - 070*******350 Bruce Gallegos,COMPLETED,0.0,2735.55,-109459.52
VKFXB4Z3KY,2023-09-03,OD Loan Repayment to 232323 - M-PESA Overdraw,COMPLETED,0.0,1954.79,-111414.31
EZJQFQAN50,2023-09-03,"Pay Merchant to 113916 - Sanchez, Tran and Clark",COMPLETED,0.0,2378.5,-113792.81
DZI4D5CIWC,2023-09-08,"Customer Withdrawal At Agent Till 363989 - Johnson, Campos and Santiago Agency",COMPLETED,0.0,5739.64,-119532.45
1UPFU52U6X,2023-09-08,Term Loan Repayment - Hustler Fund,COMPLETED,0.0,2034.08,-121566.53
EYPLCGQS2P,2023-09-08,Customer Transfer of Funds Charge,COMPLETED,0.0,28.76,-121595.29
902EEFCYUB,2023-09-12,Merchant Payment Online to 506905 - Coleman-Ball,COMPLETED,0.0,107.54,-121702.83
2246235DID,2023-09-13,Customer Send Money to Micro SME Business to - 2547*******623 KIBANDA KWA NJUGUNA,COMPLETED,0.0,2227.24,-123930.07
QYLW1F6KWM,2023-09-14,"Merchant Payment Online to 882581 - Murray, Hamilton and Jones",COMPLETED,0.0,60.83,-123990.9
VVDXZ6LPJO,2023-09-14,Funds received from - 2541*******386 Corey Ward,COMPLETED,661.56,0.0,-123329.34
QNXCW1FKO8,2023-09-14,Deposit of Funds at Agent Till 815095 - Hensley and Sons Agency,COMPLETED,4796.96,0.0,-118532.38
LAOQ4CZIBB,2023-09-16,Funds received from - 2540*******400 Morgan Ellis,COMPLETED,3598.82,0.0,-114933.56
I4AQP5EWAT,2023-09-17,M-Shwari Lock Savings to Account RX1RQGAOLJEI,COMPLETED,0.0,2695.6,-117629.16
T67ZXQIXSZ,2023-09-19,Pay Bill Online to 340765 - KPLC PREPAID Acc. 3QNNDX3J6X9A,COMPLETED,0.0,2147.25,-119776.41
001K3NT1YZ,2023-09-19,Data Bundle Purchase - 1GB Daily,COMPLETED,0.0,199.15,-119975.56
9ORUXZ38RB,2023-09-19,Airtime Purchase for 071*******928,COMPLETED,0.0,210.58,-120186.14
2UYQ4RP058,2023-09-19,Customer Send Money to Micro SME Business to - 071*******414 MTUMBA SHOP,COMPLETED,0.0,2357.96,-122544.1
0VBM5BE9XS,2023-09-23,Funds received from - 2547*******046 Austin Eaton,COMPLETED,4141.65,0.0,-118402.45
JTKU7KZHP3,2023-09-26,Funds received from - 077*******243 Susan Burns,COMPLETED,2246.34,0.0,-116156.11
XCZL6K2YBH,2023-09-26,Salary Payment from - Daugherty-Nelson,COMPLETED,4309.92,0.0,-111846.19
GPHBKHJMK7,2023-09-27,Customer Send Money to Micro SME Business to - 2540*******010 BODABODA SACCO,COMPLETED,0.0,2263.95,-114110.14
IVV3D62J45,2023-09-29,Customer Transfer of Funds Charge,COMPLETED,0.0,38.16,-114148.3
YIJELOYZ6J,2023-10-01,Customer Transfer of Funds Charge,COMPLETED,0.0,5.54,-114153.84
F7M8X4WXW0,2023-10-02,M-Shwari Deposit to Account SBGCZJE9WQAC,COMPLETED,0.0,3588.12,-117741.96
GDG3Z5Z9WY,2023-10-05,Customer Transfer of Funds Charge,COMPLETED,0.0,36.65,-117778.61
239UXEKZ2E,2023-10-07,Pay Bill Online to 704234 - Zuku Acc. K2RMPOKVJBN5,COMPLETED,0.0,3216.51,-120995.12
3ZXOS2FCY4,2023-10-08,Funds received from - 071*******622 Corey Ward,COMPLETED,4459.67,0.0,-116535.45
HUUT82K0GD,2023-10-08,Term Loan Disbursement - Hustler Fund,COMPLETED,2710.51,0.0,-113824.94
3JVTEQABF4,2023-10-09,Pay Bill Charge,COMPLETED,0.0,14.6,-113839.54
9MWXDKKNNE,2023-10-12,M-Shwari Deposit to Account VHVSU8IMDFVD,COMPLETED,0.0,878.79,-114718.33
2F255679NI,2023-10-12,Reversal of Transaction 56R8TU4BCB - Jose Lopez,COMPLETED,1951.1,0.0,-112767.23
N9H32148SW,2023-10-13,Merchant Customer Payment from - Richardson LLC,COMPLETED,4844.12,0.0,-107923.11
UUO0VLJRR5,2023-10-19,Customer Send Money to Micro SME Business received from - 2540*******603 Susan Burns,COMPLETED,3495.6,0.0,-104427.51
GDY20V3N4Q,2023-10-21,Merchant Payment Online to 121426 - Silva Inc,COMPLETED,0.0,2766.4,-107193.91
LG3NKPFSSU,2023-10-22,Customer Transfer to - 2540*******566 Troy Love,COMPLETED,0.0,2565.76,-109759.67
MU4WQIM10E,2023-10-24,"Merchant Payment Online to 205697 - Howard, Silva and Ramos",COMPLETED,0.0,3332.44,-113092.11
DOMECQ1DQH,2023-10-25,"Deposit of Funds at Agent Till 501981 - Baker, Williams and Austin Agency",COMPLETED,1373.74,0.0,-111718.37
ZRY70QYARV,2023-10-25,Customer Transfer Fuliza to - 2547*******753 Aaron Gomez,COMPLETED,0.0,1242.49,-112960.86
R2SSIG3THK,2023-10-29,Data Bundle Purchase - 1GB Daily,COMPLETED,0.0,84.76,-113045.62
23W92NCQ55,2023-11-03,Merchant Payment Online to 270209 - White Group,COMPLETED,0.0,149.35,-113194.97
CT2YD9UWR4,2023-11-05,Pay Bill Online to 683034 - NHIF,COMPLETED,0.0,5012.94,-118207.91
4TN0OXP950,2023-11-05,"Merchant Payment Online to 507131 - Francis, Myers and Fisher",COMPLETED,0.0,2052.62,-120260.53
BTGYS7MQOJ,2023-11-06,SMS Bundle Purchase - 100 SMS,COMPLETED,0.0,66.77,-120327.3
BE1JP78ZSF,2023-11-14,Merchant Payment Online to 886250 - Phillips-Ramirez,COMPLETED,0.0,2145.61,-122472.91
4NF5ZSRTU6,2023-11-14,Funds received from - 2540*******930 Dawn Washington,COMPLETED,752.68,0.0,-121720.23
HHUBQ9WLTH,2023-11-15,Customer Transfer to - 2547*******652 Zachary Key,COMPLETED,0.0,2024.35,-123744.58
7QP08HW4XB,2023-11-16,Customer Transfer to - 070*******633 Aaron Gomez,COMPLETED,0.0,1967.38,-125711.96
4ZUMOI1WSF,2023-11-21,"Customer Withdrawal At Agent Till 169853 - Henderson, Mcdaniel and Harrison Agency",COMPLETED,0.0,5945.14,-131657.1
TLNI5M46HY,2023-11-22,Customer Send Money to Micro SME Business to - 071*******225 KIBANDA KWA NJUGUNA,COMPLETED,0.0,1478.14,-133135.24
6IJUPIO0G2,2023-11-23,Customer Withdrawal At Agent Till 913423 - Hammond-Booker Agency,COMPLETED,0.0,1755.08,-134890.32
RUJR58ZL7C,2023-11-24,Merchant Payment Online to 297952 - Jackson-Ray,COMPLETED,0.0,272.06,-135162.38
Z2A6GZL6QU,2023-11-25,Customer Payment to Small Business from - 072*******213 Catherine Smith,COMPLETED,1899.24,0.0,-133263.14
V56Z3LRMUL,2023-11-26,Customer Send Money to Micro SME Business received from - 2547*******466 Zachary Key,COMPLETED,1175.99,0.0,-132087.15
L0WXBC2R9W,2023-11-28,Customer Payment to Small Business from - 2541*******244 Kathleen Ali,COMPLETED,408.39,0.0,-131678.76
U6E4IS9T0Z,2023-11-29,Airtime Purchase for 070*******402,COMPLETED,0.0,330.86,-132009.62
ECYSDFZWMR,2023-12-01,Merchant Payment Online to 206393 - Garza-White,COMPLETED,0.0,3014.2,-135023.82
9GFOPXPWMC,2023-12-05,Customer Transfer to - 2542*******855 David Lucas,COMPLETED,0.0,2089.13,-137112.95
C2AZ5NL2YD,2023-12-06,Pay Bill Online to 690131 - KPLC POSTPAID,COMPLETED,0.0,3007.85,-140120.8
O11P67POKT,2023-12-09,KCB M-PESA Withdrawal from Account 3CE6RNRWV04M,COMPLETED,1627.9,0.0,-138492.9
596S7821GW,2023-12-10,Pay Bill Online to 354557 - Equity Bank Acc. ZLQFDAMGMD0G,COMPLETED,0.0,4725.89,-143218.79
4JAVQ3XOK0,2023-12-10,Customer Transfer to - 070*******205 Morgan Ellis,COMPLETED,0.0,2315.07,-145533.86
TJENGCZ3QU,2023-12-16,"Pay Merchant to 785806 - Cruz, Ali and Miles",COMPLETED,0.0,2507.98,-148041.84
709MKUFIKB,2023-12-18,Business Payment from - Murphy-King,COMPLETED,2566.11,0.0,-145475.73
AUFJ5E5LGY,2023-12-22,"Promotion Payment from - Chandler, May and Morales",COMPLETED,3700.24,0.0,-141775.49
HRP0U6IUK1,2023-12-24,Pay Bill Online to 336701 - Showmax Acc. IYQY4UOD4T5V,COMPLETED,0.0,9984.98,-151760.47
YP0GBCGA3V,2023-12-25,Pay Bill Charge,COMPLETED,0.0,44.19,-151804.66
K53JG7J34X,2023-12-28,M-Shwari Withdrawal from Account 89AVL9LTU33A,COMPLETED,2169.75,0.0,-149634.91
R6QQ6CO3Y5,2023-12-30,Business Payment from - Gamble-Hobbs,COMPLETED,4407.54,0.0,-145227.37
E5PX751DZ9,2024-01-02,Customer Transfer of Funds Charge,COMPLETED,0.0,19.96,-145247.33
